Name,f1,q1,f2,q2,f3,q3,f4,q4,f5,q5
桂枝汤,炙甘草,2,生姜,3,桂枝,3,芍药,3,大枣,12
四逆汤,炙甘草,2,干姜,1.5,附子,1,,,,
